index,text,old_label,new_label,confidence,reason
0,sebenernya sudah sering terjadi tapi hari ini puncak kekesalan saya sama pengemudi gocar saya pesan gocar untuk jarak ya...,negative,neutral,high,"Mixed sentiment (pos:1, neg:2)"
1,saya kecawa dengan apk ini saya pesan makanan pc tapi pada saat sampai hanya pc dengan harga pc saya membayar saya harap...,negative,positive,medium,Positive (score:2.0)
5,saya sangat puas dengan aplikasi ini karena dengan aplikasi ini saya tidak perlu keluar rumah untuk membeli makanan di l...,positive,negative,medium,Negative (score:-3.9)
18,aplikasi tolol banget harganya sekarang mahal mahal banget masa hari ini pesen harga besoknya mesen lagi dengan item yan...,negative,positive,high,Strong positive (score:5.2)
20,aplikasi ini sangat bermanfaat mudah untuk bertransaksi dan kalian boleh coba induk aplikasi gojek ini deh saya yakin ka...,positive,negative,high,Strong negative (score:-9.1)
21,tiba di blokir padahal lancar tidak jelas,negative,positive,medium,Positive (score:2.0)
23,terima kasih untuk gojek yang selama ini sudah membantu saya dalam melakukan transaksi aplikasi yang sangat mudah diguna...,positive,neutral,medium,Neutral (score:0.0)
25,apknya sering lag padahal sudah di update,neutral,negative,medium,Negative (score:-2.0)
26,sangat membantu untuk dapat memberikan pekerjaan bagi anak bangsa bravo gojek indonesia saya pengemudi kalimantan barat ...,positive,negative,medium,Negative (score:-2.6)
31,selama pakai go jek terutama gofood semakin kesini semakin banyak biaya dan agak lebih mahal si menurut sy dan voucer su...,negative,neutral,medium,Neutral (score:1.3)
32,ampun nih kedua kalinya kejadian bagus up gopay lambat banget masuknya ini yang kedua lambat banget sudah dari kemarin s...,negative,neutral,medium,Neutral (score:-1.3)
34,bagus lah pokoknya semoga aplikasinya lancar dan tidak ada masalah kedepannya,positive,neutral,medium,Neutral (score:1.0)
35,fitur nya sangat membantu saya banget apa lagi go food nya bt saya dengan ibu anak yang kalo lagi mls masak bisa langsun...,positive,negative,medium,Negative (score:-3.2)
48,promosi yang ada sudah d masukkan begitu kita mau bayar jadi lebih gampang tidak oerlu cari cmn mt lebih besar disc nya,positive,neutral,medium,Neutral (score:1.0)
57,tambah sukses dan tepat waktu makasih,neutral,positive,high,Strong positive (score:5.0)
