index,text,old_label,new_label,reason
29,kenapa akhir ini aplikasi gojek bikin kecewa ya sudah hampir hari berturut saya pesan go ride tidak bisa bisa pada hal aplikasi ini sangat membantu saya untuk berangkat dan pulang kerja hari hari tapi kali ini bikin kesal tiap malam tiap pesan go ride loading terus mau nunggu sampe menit pencarian drivernya tidak kelar kelar pada hal paket saya masih ada ini sudah berapa hari berturut seperti ini tolong dong pihak aplikasi ini di perbaiki lagi sistem nya,negative,neutral,Mixed sentiment detected
41,ini terkait pesanan di online store yang belum di pick up driver padahal saya pake gosend isntant katanya jam sampai tapi ini sudah sehari belum ada yang pick up paket saya kecewa dah tidak pake gosend kalo belanja online lagi kapok kalau bisa perbaiki mekanisme gosend instan nya bagaimana caranya biar barang gosend instant bisa cepet di pick up driver bintang naek kalau sudah diperbaiki masa lima pengemudi out pick semua wth,negative,neutral,Mixed sentiment detected
165,setelah diperbarui kenapa jadi lambat ya aplikasinya terus sering keluar sendiri tolong dong perbaiki masa tampilan bagus tapi lambat sih,negative,neutral,Mixed sentiment detected
169,masa saya pesen mknan harga nya k bru ongkir k trus saya jg pake vocer yang hrg k trus jg ada tambahan nasi harusny saya byr itu k tapi ini jadi k saya sangat kecewa skli kya di begoin padahal saya sering pesan mknan lewan gojek dan hasil nya mempuas kan tapi kali ini saya sangat kecewa,negative,neutral,Mixed sentiment detected
171,terima kasih atas perbaikan bug yang dilakukan sebelumnya,negative,positive,Thank you message without complaint
197,bagus aplikasinya tapi sayangnya terlalu lambat cari pengemudi mungkin bisa diperbaiki,positive,neutral,Mixed sentiment detected
210,sukses ya tapi jangan naik tarifnya nanti tidak suka orang pesan go jek karena berubah ubah tarif terimakasih selamat dan tuhan memberkati,negative,neutral,Mixed sentiment detected
217,sekarang puas lagi limit paylater dinaikin padahal sempet kecewa karena diturunin padahal tidak pernah telat byr jg tapi sudah naik lagi dan baru tau ternyata bisa buat byr blibli jg walaupun belum coba beneran karena belum mau pakai hehe tapi mudahan pas dipake nanti blibli bisa pake method paylater payment gopay tq,negative,neutral,Mixed sentiment detected
290,semenjak naik versi aplikasi goshop chatnya sering kali lemot tulisan disambungkan tp mohon para it yang mumpuni solusinya karena saya salah satu pengguna goshop aktif dan sangat membantu komunikasi chat dengan driver trima kasih,neutral,positive,"Clear positive pattern, not mixed"
345,tolonglah buat para customer gojek bijaklah dalam memberi rating jangan kesalahan dari resto tapi kasih bintang buruk ke driver tugas pengemudi hanya mengantar pesanan bukan memasak atau menyiapkan pesanan driver hanya memastikan pesanan sudah sesuai dan lengkap kalo memang ada yang kurang baiknya hubungi pengemudi kembali supaya di selesaikan masalahnya jangan asal langsung kasih bintang buruk ke driver karna sebelum mengantar pengemudi pasti sudah pastikan kalo pesanannya sudah lengkap,positive,neutral,Mixed sentiment detected
347,kenapa ada rute yang tdak sesuai di area jayapura pertama karena perbaikan jalan sedangkan perbaikan jalan sudah selesai tapi rute tetap rute yang jauh dan harga jauh lebih mahal,negative,neutral,Mixed sentiment detected
379,saya kecewa dengan gojek saat ini karena saya mau masuk ke akun saya dan disuruh memasukan nomer telepon untuk mendapat link verifikasi tapi kenapa sudah dicoba berulang kali input nomer sms masih belum ada,negative,neutral,Mixed sentiment detected
383,sangat membantu tp kalau sudah musim hujan susah dan bahkan ndk pernah ad yang ambil orderan,neutral,positive,"Clear positive pattern, not mixed"
466,telat bayar pylater menit denda ny k tidak ngotak padahal transaksi cuma k denda ny k tidak ngotak banget bukan ny membantu malah bikin jadi susah padahal di oren tidak segede itu denda keterlambatannya gojek bagus banget dah pokonya mantapp,negative,neutral,Mixed sentiment detected
467,makin lambat bukannya makin memperbaiki aplikasi biar tambah bagus tapi ko malah sering error kecewa banget sama aplikasinya klw gini trs mohon dibuat masukan buat kantornya,negative,neutral,Mixed sentiment detected
517,aplikasinya bagus tapi drivernya kebanyakan nakal mentang mentang tarifnya murah malah dilamain sama drivernya,positive,neutral,Mixed sentiment detected
538,aplikasinya sangat membantu saya sangat suka tapi yang sangat bikin saya kesal saya sering pesan disuatu tempat dan lokasinya selalu full rame driver menolak untuk mebelikannya alasannya males nunggu lambat dan pengemudi tidak mau cancel saya diminta batal melalui ponsel saya tolong driver seperti itu di kasih pencerahan biar tau kerjanya tidak cuma enak aja bahwa semua pekerjaan ada enaknya ada enggaknya,negative,neutral,Mixed sentiment detected
565,saya tidak bisa login ke akun saya setelah ganti hp padahal sebelum nya bisa bagaimana ini,neutral,negative,"Clear negative pattern, not mixed"
577,saya ada bagus up rbu hari yang lalu dan sampai sekarang saldo nya tidak masuk saya chat cs nya d suruh minta bukti foto bagus up sama akun gojek saya terus saya kirim eehh sampai saat ini blum juga ada balasan kecewa rasa nya pakai apk ini bukan nya bikin senang tapi malah bikin uang hilang,negative,neutral,Mixed sentiment detected
584,tidak suka banget terlalu nama nunggu padahal sudah pakai pengiriman makanan yang cepet sudah itu nunggu pengemudi lambat tidak dapet eh malah di batalin harusnya bisa di batalin lebih cepet bukan malah harus nunggu jam buang waktu,negative,positive,Clear positive pattern detected
620,perbaikin sistem gofood nya kalo resto yang sudah lambat tidak aktif mending diapus otomatis trus opsi bantuan juga kalo bisa jgn pke robot biar berguna soalnya kl ada masalah sama resto pengemudi kdg gamau ngebatalin dr dianya kita pembeli yang dicecer pengemudi nya perkara mereka mngkn takut kena suspend kl mereka yang ngebatalin sdgkan kita saja gabisa ngebatalin kl pesanan sudah diproses di aplikasi padahal sudah berusaha complain ke opsi bantuan tapi tidak guna sama sekali,negative,neutral,Mixed sentiment detected
627,kenapa sekarang susah sekali mencari drivernya pesan goride sampai ulang ulang tidak ketemu juga pesan gofood dicancel terus karena tidak ada drivernya ini kalau satu atau dua kali oke deh saya maklumi tapi kenapa terus terusan kaya gitu yaa bukannya makin dibagusin pelayanannya kenapa malah makin hancur sih anehh,negative,neutral,Mixed sentiment detected
647,nih saya kasih bintang dua karena sering bug seperti kluar sndiri padahal ram sudah cukup tidak ad masalah apa pun jaringan lumayan lambat biasa nya tidak ngebug tapi kenapa jadi ngebug lambat lambat jadi tolong di perbaikin klo tidak jadi susah buat ngejb untuk anak ngejb ngetransfer nya,negative,neutral,Mixed sentiment detected
661,buruk gojek sudah upgrade gopay tapi dompet masih terkunci dan tidak bisa digunakan sudah kirim email ke gojek katanya akun sudah tidak bisa di gunakan silahkan buat akun lain dompet terkunci gabisa di balikin sudah upgrade gopay ke premium tapi gabisa di gunakan pas sudah buat akun lain saya mau upgrade gopay ditolak karena data sudah terdaftar di akun lain ini bagaimana terusan tolong lebih diperbaiki lagi gojek masa saya upgrade gopay pakai data orang lain kan penyalahgunaan,negative,neutral,Mixed sentiment detected
668,minta tolong kalau ada yang daftar jadi pengemudi gojek dites dulu atitude nya sumpah kurang ajar betol marah marah tidak jelas karena tidak nemu lokasi saya udah dikasih tau lokasi yang bener males banget nyari sudah pesen lambat nganterin pun pakek marah dasar tidak punya etika kami jg bayar ya ongkir nya buat apa kalau disuruh ambil tidak sesuai lokasi kalau bisa jgn cuma apk nya saja di perbaiki tapi pekerja nya jg cari atitude yang baik,negative,neutral,Mixed sentiment detected
670,selamat pagi akun gojek customer saya setelah di update tidak bisa dibuka di hp ini tapi di hp lain bisa sudah email tapi belum ada tanggapan lagi mohon segera perbaiki versi tidak cocok di hp saya,positive,neutral,Mixed sentiment detected
