text,sentiment
saya kenapa gagal login terus ya semenjak ganti nomor alasanya internet atau wifi mati padahal nyala dan signal bagus tolong dong,negative
sangat membantu min saran kalau bisa jika ada pembatalan gofood harus ada persetujuan dari pengirim dong kasihan kebingungan tukang antar nya padahal pesanan sudah siap satu lagi kalau pengiriman tidak ke alamat tempat tinggal kan tidak bisa di lacak itu orang nya lebih baik hanya bisa menggunakan gopay saja terima kasih,positive
bagian desain aplikasi menu ini terlalu pintar sangat bagus tapi menurut mereka sendiri coustamer mau yang simpel bukan yang rumit gini karena perkataan simpel berarti mudah nach dari mudah itu ada kata cepat ini awal rumit berarti kata akhirannya lambat and ruwet wajar sekarang setelah goride di aktifin lagi jadi banyak yang pesan grab bike dari pada goride jadi makin sulit saya dapat pesan nich pokoknya gojek nomor 1 dalam masalah desain pesan nomor 10 dalam masalah peminatcs,positive
mohon jika akun pemesanan sudah log in di satu handphone seharusnya tidak bisa login di handphone yang lainnya lagi karena kmrin akun saya si pakai pengemudi gojek yang tidak bertanggung jawab untuk membawa pesanan fiktif sehingga promosi yang saya dapatkan di akun saya habis dipakai dy tolong lebih bijak lagi,negative
saya senang menggunakan aplikasi ini tapi bbrapa hari ini semua promosi menghilang tidak dapat digunakan sejak update terbaru,positive
kenapa pas mau transfer selalu ada bacaan pemakaian terdeteksi tidak biasa ya,neutral
gopud ku kenapa sekarang tidak bisa digabung diskonnya percuma ngasih voucher 30 tapi tidak bisa di gabung sama diskon restoran mana ongkos kirim mahal banget,negative
aplikasi bguss bnget tambahin pembayaran virtual akun dong kak nanti saya kasih bintang 5,neutral
porsinya jengkol sedikit sekali,neutral
makin paraahh estimasi pengiriman lamaa sekali hampir berjam jam tapi sulit untuk dibatalkan,negative
sesi yang kurang bagus adalah ketika booking di jam transisi ke peak hour aplikasinya ngelag saat dibatalkan bookingannya harga ternyata berubah naik drastis,negative
masak diskon cuman sekali seumur hidup tidak enak diskon ny,negative
saya kasih bintang 3 karena sekarang sudah tidak ada menu bagus up games yang selengkap dulu,neutral
pengemudi jabodetabek buka lagi dong,neutral
bagus sering dapat diskonan yang tak terduga,positive
tingkatkan lagi promosi modal lagi ayo buat tarik costomer disaat pandemi aplikasi sudah bagus tidak ada double pesan jadi pesan makan cepat sampai makanan masih hangat pula tinggal promosi saja dibanyakin terimakasih,positive
