text,is_spam,sentiment
"sangat membantu disaat tidak ada kendaraan dan disaat urgent , terimakasih aplikasi gojeg , semoga para pengemudi diberi keselamatan saat dijalan dan sehat selalu , sukses terus buat gojeg",False,positive
"gofood nya bagus banget deh, pesanan slalu diantarin cepat dan banyak promosi discount nya",False,positive
"ada kurang2 custemer ,driver mudah memberikan solusi.",False,neutral
ya lumayan lah membatu,False,neutral
saya senang naik gojek pengemudi nya ramah dan bersih tapi tolong yang beda kereta dan bk di aplikasih tolong di tindak lanjuti,False,very_positive
"tolong pak nadim selaku punya aplikasi,saya setiap kali mau isi gopay slalu tidak ada draiver,kata pengemudi sekarang isi saldo tidak dapat poin,apakah benar,klau bnar tlong dibenahi,biar sama2 menguntungkan,trmksi",False,negative
"hallo kenapa ya aplikasi saya di blok padahal sering gofod, terus aplikasi yang satu lagi di blok juga apa karena ke sering an gofod juga?",False,neutral
knpa kalau pesan lambat trs,False,negative
"maaf untuk masalah upgrade di gopay plus. di item plus tertera akun saya sudah di upgrade, tapi di item pengaturan gopay plus saya masih diproses belum diterima. imbasnya saldo gopay saya belum bisa transfer ke bank. tolong penjelasan, proses, dan pembenahanya dipercepat. terimakasih",False,neutral
"akun gopaylater saya barusan saya bayar, sebelum bauar ada info kenaikam limit. pas saya mau pake tulisannya malah keblokir. sudah ke pusat bantuan sama kirim email belum ada jawaban. bisa dibantu?",False,neutral
kenapa jadi susah masuk ke menu pencarian sekarang? setelah di update malah jadi tambah error? lebih cepat dulu sebelum di update.jadi menyesal update nya,False,negative
"tolong dong lokasi pin aplikasi castamer dibuat akurat,,merugikan pengemudi banget.sudah tarif murah dipotong jarak.sudah sering beberapa kali kejadian begini.tolong dong diperbaiki pin lokasiny.",False,positive
"drevernya cepat gesit waktu penjemputan, ramah dan saat membawa motornya juga selalu hati hati,good luck",False,very_positive
sangat mudah dan aman,False,very_positive
"ngisi gopay saldo kepotong malah belum masuk ke akun gopay, sudah ngelapor di suruh nunggu 2x24 jam, sdah nunggu ttp belum masuk sudah lampirin bukti topup malah di cuekin sekarang sudah 4x24 jam belum ada balesan dari customer service",False,neutral
yang bilang masuknya susah berarti tidak tau teknologi. aku saja masuknya gampang tinggal masukin no telepon tunggu verivikasi kalau sudah kasih alamat email dah jadi. masak kalah ama anak kecil. bagus kenapa aplikasi nya. kalau lagi pengen mendadak tinggal pesan. cepet lagi. ongkosnya tidak terlalu mahal.trs kalau mau pergi ke sklh tinggal naik go ride bayarnya murah lagi tidak perlu ngabisin uang saku,False,very_negative
no komen yang penting sama2 enak,False,positive
"sangat membantu, dan bermanfaat",False,very_positive
"coba ya kalau gojek bisa ke pasar,jadinya kan bisa beli cabe 1 kilo,tahu,tempe,bawang bagi kita orang yang tinggal di pusat kota yang lumayan padet juga waktu kerja dan pasar yang super jauh ehe.selain itu bisa meningkatkan pendapatan pasar lokal juga dibanding pendapatan barang-barang luar yang ada di mall,supermarket dan sebagainya.semoga ke depannya ada fitur ke pasar-pasar yaah.sukses terus kedepannya",False,neutral
"aplikasi buruk , erar eror terus payahh costomermu pindah semua jek kalok begini sekarang pesan lambat , lebih baik shopee food cepat harga kurang lebih sama",False,negative
"saya kesal banget sama apk gojek sekarang, why? saya bolak balik login itu tu tidak bisa, saya awalnya berfikir oh, mungkin ada something dari hp saya nya kli ya mknya lag buruk pas login ksini dann ketika saya coba open apk lain itu kaga lag sama sklii, hadehh benci banget sama kendala dibagian snii , tpii untuk yng lain fine fine saja sii",False,very_negative
"setelah isi saldo gopay, aplikasi minta di update pas di update tidak bisa-bisa. mana sudah hapis beberapa aplikasi lain buat update gojek.",False,negative
pengemudi bilang kejauhan kak jemput nya.10x gua yang nolak.gua yang di ban.siap memang,False,neutral
