content,content_clean,score,sentiment
"Ongkir gofood gk ngotak, tiba-tiba aja mahal padahal lokasi sama","ongkir gofood gk ngotak, tiba-tiba aja mahal padahal lokasi sama",2,negative
"makin lama driver lu makin lelet aja borr, padahal biaya mahal banget nih, kureng ga sih? overprice sih kata gua jadinya","makin lama driver lu makin lelet aja borr, padahal biaya mahal banget nih, kureng ga sih? overprice sih kata gua jadinya",2,negative
drivernya buta map.,drivernya buta map.,2,negative
gaada yang butuh uang saya udah psen gaada yang mau,gaada yang butuh uang saya udah psen gaada yang mau,1,negative
"Bagus, hanya saja kadang lebih mahal dari yg lain, dan belum ekplore kesemua kota di indonesia","bagus, hanya saja kadang lebih mahal dari yg lain, dan belum ekplore kesemua kota di indonesia",4,positive
"Maps ngaco,,,stiap order maps jalurnya muter muter padahal jalur ada yg LBH cepat","maps ngaco,,,stiap order maps jalurnya muter muter padahal jalur ada yg lbh cepat",4,positive
"Diskon nya ga stabil. Jadi kadang dipakai, kadang tidak aplikasinya.","diskon nya ga stabil. jadi kadang dipakai, kadang tidak aplikasinya.",2,negative
"pesen gofood lama bgt padahal lagi engga hujan & jarak resto sama rumah ga jauh"" amat, bisa sejam an nunggu nya. biasanya nunggu cuman 20-30 mnt aja, kok sekarang malah sejam an? mohon diperbaiki ya","pesen gofood lama bgt padahal lagi engga hujan & jarak resto sama rumah ga jauh"" amat, bisa sejam an nunggu nya. biasanya nunggu cuman 20-30 mnt aja, kok sekarang malah sejam an? mohon diperbaiki ya",1,negative
Erorr saat dibutuhkan nih,erorr saat dibutuhkan nih,2,negative
"fix gw ga bkl pinjem gopinjaman lg dan ga bkl memakai aplikasi gojek ! , telat beberapa hari dilunasin udh ga bisa pinjem lg dong ! males ! pdhl baru pertama kali ajuin gopinjam !","fix gw ga bkl pinjem gopinjaman lg dan ga bkl memakai aplikasi gojek ! , telat beberapa hari dilunasin udh ga bisa pinjem lg dong ! males ! pdhl baru pertama kali ajuin gopinjam !",1,negative
Kasih bintang 2 dulu deh,kasih bintang 2 dulu deh,2,negative
Drivernya ramah & berkendara aman,drivernya ramah & berkendara aman,5,positive
amat sangat membantu bintang 1000,amat sangat membantu bintang 1000,5,positive
Ini gk ada diskon apa ya buat gofood karena membantu bgt kalau di tanggal tanggal tertentu,ini gk ada diskon apa ya buat gofood karena membantu bgt kalau di tanggal tanggal tertentu,4,positive
serlok ya kurang pas,serlok ya kurang pas,4,positive
layanan nya lama,layanan nya lama,2,negative
Lama.lama parah ente...gofood nyari driver sejam lebih,lama.lama parah ente...gofood nyari driver sejam lebih,2,negative
Aplikasi terfavorit💙,aplikasi terfavorit💙,5,positive
keren dan mantap memang kalau sudah pakai aplikasi GO-JEK,keren dan mantap memang kalau sudah pakai aplikasi go-jek,5,positive
lumayan lah walaupun kadang trouble terbanti dengan layanan driver,lumayan lah walaupun kadang trouble terbanti dengan layanan driver,4,positive
sangat membantu dimanapun dan kapanpun,sangat membantu dimanapun dan kapanpun,4,positive
sangat berguna,sangat berguna,5,positive
Gojek mantap 👍🏻,gojek mantap 👍🏻,1,negative
"MAHAL, GAK ADA PROMO","mahal, gak ada promo",1,negative
"sangat membantu, walau kadang cari driver susah","sangat membantu, walau kadang cari driver susah",4,positive
"Saat pengajuan gopay pinjam, data yang keluar selalu data yang lama, padahal sudah saya ganti data yang terbaru","saat pengajuan gopay pinjam, data yang keluar selalu data yang lama, padahal sudah saya ganti data yang terbaru",4,positive
"Bikin emosii, lama banget dapet driver kalo lagi pesen gofood","bikin emosii, lama banget dapet driver kalo lagi pesen gofood",2,negative
selalu dapat driver yg ramah,selalu dapat driver yg ramah,5,positive
Sering terlambat lebih dari 30 menit,sering terlambat lebih dari 30 menit,4,positive
sangat membantu,sangat membantu,5,positive
"pada prinsipnya nyaman, memang sekali-kali ada yang tidak menyenangkan: lama nunggu tidak kasih alasan.","pada prinsipnya nyaman, memang sekali-kali ada yang tidak menyenangkan: lama nunggu tidak kasih alasan.",4,positive
good membantu,good membantu,5,positive
"Saya memiliki keluhan atas pihak gojek, di karenakan pemblokiran atas akun gopay saya, padahal saya sudh melakukan banding, tapi ttp aja masih di tolak oleh pihak gopay / gojek","saya memiliki keluhan atas pihak gojek, di karenakan pemblokiran atas akun gopay saya, padahal saya sudh melakukan banding, tapi ttp aja masih di tolak oleh pihak gopay / gojek",2,negative
Iklan di aplikasi lain sangat mengganggu,iklan di aplikasi lain sangat mengganggu,2,negative
Msh bagus playanannya msh ktemu driver yg sopan2,msh bagus playanannya msh ktemu driver yg sopan2,4,positive
aplikasi lol,aplikasi lol,1,negative
pelayanannya oke,pelayanannya oke,4,positive
"aman ,cepat","aman ,cepat",5,positive
Beli ongkir gratis makanan.,beli ongkir gratis makanan.,2,negative
perjalanan jadi mudah,perjalanan jadi mudah,5,positive
aman nyaman cepat tepat selamat,aman nyaman cepat tepat selamat,5,positive
karena selalu terobel masalah alamat,karena selalu terobel masalah alamat,4,positive
"ktnya 90% di setujui nyatanya pinjam uang pakai BPKB sudah di isi , motor pun 2025 masih di tolak , padahal penghasilan 7-9 jutaan anehh","ktnya 90% di setujui nyatanya pinjam uang pakai bpkb sudah di isi , motor pun 2025 masih di tolak , padahal penghasilan 7-9 jutaan anehh",1,negative
"Bagus, mantap, gooooddddd.","bagus, mantap, gooooddddd.",5,positive
"ENTAH APA YG SALAH, TAPI SERING TERJADI, DALAM KONDISI SINYAL INET STABIL PUN, APLIKASI INI MAP-NYA TIDAK MENUNJUKKAN PERGERAKAN KENDARAAN YG NYATA. JADI SERING KALI BIKIN MISKOM ANTARA DRIVER DAN PELANGGAN, KRN PELANGGAN MENGIRA DRIVER TDK BERGERAK SAMA SEKALI. BERUJUNG CANCEL. RUGI DI DRIVER, MEREPOTKAN JG DI PELANGGAN KRN HARUS ORDER ULANG.","entah apa yg salah, tapi sering terjadi, dalam kondisi sinyal inet stabil pun, aplikasi ini map-nya tidak menunjukkan pergerakan kendaraan yg nyata. jadi sering kali bikin miskom antara driver dan pelanggan, krn pelanggan mengira driver tdk bergerak sama sekali. berujung cancel. rugi di driver, merepotkan jg di pelanggan krn harus order ulang.",2,negative
sekarang gofood lama nya minta ampun padahal sebelumnya 15menit udah sampe skrng bisa sejam gegeara ada ekonomis reguler dll.,sekarang gofood lama nya minta ampun padahal sebelumnya 15menit udah sampe skrng bisa sejam gegeara ada ekonomis reguler dll.,2,negative
bagus dan sangat membantu,bagus dan sangat membantu,5,positive
sangat memudahkan,sangat memudahkan,5,positive
"Sistem bobrok ga prioritaskan pelanggan, krna salah driver ga klik pesanan diterima, jd gabisa selesaikan pesanan. saya cuma minta invoice saja gabisa. salah kalian, kok pelanggan jg ikut nanggung komplain sana sini gaada solusi, pulsa dah habis telp call center pun sama saja, saran saja, kalau memang urusan penting mending gausah pakai gojek","sistem bobrok ga prioritaskan pelanggan, krna salah driver ga klik pesanan diterima, jd gabisa selesaikan pesanan. saya cuma minta invoice saja gabisa. salah kalian, kok pelanggan jg ikut nanggung komplain sana sini gaada solusi, pulsa dah habis telp call center pun sama saja, saran saja, kalau memang urusan penting mending gausah pakai gojek",1,negative
sangat puas,sangat puas,5,positive
"Saya top up gopay berkali kali total sudah 200 ribu tidak masuk ke gopaynya sudah berkali kali cek nomor nya dan sama tapi mengapa tidak masuk juga, tolong di jawab klo ada jalan keluar saya beri rating 5","saya top up gopay berkali kali total sudah 200 ribu tidak masuk ke gopaynya sudah berkali kali cek nomor nya dan sama tapi mengapa tidak masuk juga, tolong di jawab klo ada jalan keluar saya beri rating 5",4,positive
"respon drivernya bener² cepet... belum mulai chat.. belum konfirmasi.. bahkan booking pun belum setuju, baru aja mikir²... eh dah main berangkat aja tuh driver .. tiba² dah d depan rumah... mana kita d minta cepet² pula.. driver ny kira kita dah siap.. padahal kan belom apa².. . bener² siKilat Ijo konoha ..","respon drivernya bener² cepet... belum mulai chat.. belum konfirmasi.. bahkan booking pun belum setuju, baru aja mikir²... eh dah main berangkat aja tuh driver .. tiba² dah d depan rumah... mana kita d minta cepet² pula.. driver ny kira kita dah siap.. padahal kan belom apa².. . bener² sikilat ijo konoha ..",2,negative
"Lapor karna pesanan di selesaikan driver ,tapi penumpang gak dijemput,,malah gak bisa diproses dong balasannya mana bayar pake gopay lagi,,2x dapat driver Gocar kya bgni modelan nya..bobrok banget ni aplikasi nya padahal harus konsumen lebih di prioritaskan.. kecewa banget,, sorry ya Aplikasi lo w Uninstall","lapor karna pesanan di selesaikan driver ,tapi penumpang gak dijemput,,malah gak bisa diproses dong balasannya mana bayar pake gopay lagi,,2x dapat driver gocar kya bgni modelan nya..bobrok banget ni aplikasi nya padahal harus konsumen lebih di prioritaskan.. kecewa banget,, sorry ya aplikasi lo w uninstall",1,negative
"gojek ini gimana sih yang biasanya saya dapet harga 23k ketika saya menggukanan layanan go ride malah sekarang harganya melonjak tinggi jadi 28k, padahal titik jemput dan tujuan nya sama aja kaya biasanya","gojek ini gimana sih yang biasanya saya dapet harga 23k ketika saya menggukanan layanan go ride malah sekarang harganya melonjak tinggi jadi 28k, padahal titik jemput dan tujuan nya sama aja kaya biasanya",2,negative
Gojek makin kesni makin kurengg .. Udah pake pengiriman express tapi sering banget telat dan bisa sampe lebih dari 30 menit dari estimasi awal .. parahhh bgt,gojek makin kesni makin kurengg .. udah pake pengiriman express tapi sering banget telat dan bisa sampe lebih dari 30 menit dari estimasi awal .. parahhh bgt,2,negative
"barusan pesan gojek ,saat otomatis dicarikan driver oleh sistem gojek ,dapat driver dan sudah naik perjalanan sampai tujuan. TApi setelah sampai di tujuan. ada yg tlpn driver yg ke-2 udah sampai dilokasi penjemputan. bisa dijelaskan ? karena itu merugikan pelanggan dan driver. ( akhirnya saya bayar juga semua ) terimakasih mohon penjelasannya","barusan pesan gojek ,saat otomatis dicarikan driver oleh sistem gojek ,dapat driver dan sudah naik perjalanan sampai tujuan. tapi setelah sampai di tujuan. ada yg tlpn driver yg ke-2 udah sampai dilokasi penjemputan. bisa dijelaskan ? karena itu merugikan pelanggan dan driver. ( akhirnya saya bayar juga semua ) terimakasih mohon penjelasannya",1,negative
"sebel banget, sekarang gojek nggak bisa pake promo, padahal udah langganan banget sama gojek. dimasukin promo kodenya, error mulu jadi agak males sekarang T_T","sebel banget, sekarang gojek nggak bisa pake promo, padahal udah langganan banget sama gojek. dimasukin promo kodenya, error mulu jadi agak males sekarang t_t",4,positive
"Ongkir mahal, pesanan go food atau gojek meski jarak dekat pun mentok 2 jam kadang lama... Skipppp pindah apk sebelah","ongkir mahal, pesanan go food atau gojek meski jarak dekat pun mentok 2 jam kadang lama... skipppp pindah apk sebelah",1,negative
"maaf ya sebelumnyaaa ,terkait hal kalo segala pemesanan sistem cod. minta tolong bngt driver harus ada usaha buat ada kembalian deh yaa.kalo 1-3x oke lah ya gausa pake kembalian tapi lama lama tekorrr juga .kaya misal pembelian 35.000 uang nya 50.000 kaya kembaliannya tolong diusahakan ya pak driver2 karna kita juga lama lama tekor kalo kaya gitu,byngi kalo keterusan kaya gitu 20x3 dah berapa itu,fyi aku kalo masih receh"" oke!ini bukan mksd itung"" an atau gmn tapi kaya saling mengerti dong ya:)","maaf ya sebelumnyaaa ,terkait hal kalo segala pemesanan sistem cod. minta tolong bngt driver harus ada usaha buat ada kembalian deh yaa.kalo 1-3x oke lah ya gausa pake kembalian tapi lama lama tekorrr juga .kaya misal pembelian 35.000 uang nya 50.000 kaya kembaliannya tolong diusahakan ya pak driver2 karna kita juga lama lama tekor kalo kaya gitu,byngi kalo keterusan kaya gitu 20x3 dah berapa itu,fyi aku kalo masih receh"" oke!ini bukan mksd itung"" an atau gmn tapi kaya saling mengerti dong ya:)",2,negative
udah lama langganan gojek dan puas.. sayang sekarang tarif mahal dibanding aplikasi lain. smoga pelanggan setia sering dikasih bonus,udah lama langganan gojek dan puas.. sayang sekarang tarif mahal dibanding aplikasi lain. smoga pelanggan setia sering dikasih bonus,4,positive
Terimakasih aplikasinya memudahkan kita untuk pakai. sering-sering kasih promo ya,terimakasih aplikasinya memudahkan kita untuk pakai. sering-sering kasih promo ya,5,positive
layanan cpt,layanan cpt,5,positive
pucer nya gak bisa di pakai cuma menjanjikan saja,pucer nya gak bisa di pakai cuma menjanjikan saja,1,negative
"susah bgt mau laporan , aplikasinya juga ngebug trs setiap ngisi formulir . udh ngirim email jg ga di bales bales , mau cari nomer wa Cs ga ada . susah.","susah bgt mau laporan , aplikasinya juga ngebug trs setiap ngisi formulir . udh ngirim email jg ga di bales bales , mau cari nomer wa cs ga ada . susah.",2,negative
pelayanan bagus,pelayanan bagus,4,positive
membantu sekali aplikasi nya dlm berbagai macam aktifitas,membantu sekali aplikasi nya dlm berbagai macam aktifitas,5,positive
"selama saya pakai tdk ada masalah, best pokoknya","selama saya pakai tdk ada masalah, best pokoknya",5,positive
