review,rating,sentiment,sentiment_label,date,thumbs_up
cs gak ini skali jelas kntl nya,1,1,sangat_negatif,2025-10-16 22:56:22,1
"aplikasi kek , mentang2 gerimis doang sampe sejam lebih gadapet dapet driver gofood. heran buruk banget",1,1,sangat_negatif,2025-10-15 16:57:47,1
lagi kesel sama gojek pesan makanan udh 2 resto lama banget dan pada akhirnya dibatalin saya nunggu dari sore jam 21.31 gila gak,2,2,negatif,2025-10-23 21:31:18,1
pas bngt buat LG butuh,4,4,positif,2025-05-27 20:53:04,0
"notifikasi tagihan listrik selalu muncul terus, ganggu. padahal awal bulan... chat bantuan juga gk bisa di chat, sampah banget",1,1,sangat_negatif,2025-10-03 17:34:53,3
"aku coba pesan makanan ,diterimah sama pihak restaurantnya dalam status aku disuruh menunggu sekitar 45 menitan .aku cek lagi di waktu yang telah ditentukan aplikasi ,tiba2 statusnya bilang makanan yang kamu pesan habis .aplikasinya jelek",1,1,sangat_negatif,2025-09-23 01:15:40,21
deraiper yah judes terus di batalin malah minta ganti rugi,1,1,sangat_negatif,2025-10-12 14:34:28,1
Selalu Tidak masuk karna dianggap internet mati padahal signal full dan ada,3,3,netral,2024-12-12 11:45:53,0
"Kenapa setiap saya pesan gosend, fitur chatnya menghilang? Saya jd tidak bisa berkomunikasi dengan driver",4,4,positif,2025-02-19 12:32:41,1
nya taiii... susah dapet,1,1,sangat_negatif,2025-09-30 18:12:27,1
"aplikasi ibi sudah bagus dan sangat membatu dalam berbagai hal, namun terkadang terjadi eror sehingga menyangkut di satu halaman dan jika koneksi sedang tidak stabil pencarian driver menjadi lama",4,4,positif,2025-06-23 16:35:48,0
ordernya dpt CPT suka,5,5,sangat_positif,2025-09-26 21:51:04,0
"kenapa sih Sekarang kok eror, nyari driver gofood susah btull gajelasss!!",1,1,sangat_negatif,2025-10-04 08:51:55,0
untuk kali ini tidak sasab,4,4,positif,2025-10-04 13:57:24,0
