review,rating,sentiment,sentiment_label,label,date,thumbs_up
"sopan satun nya kurang, itu rata rata. yg baik hanya satu dua aja",4,4,positif,3,2025-05-04 11:41:03,0
ongkir makanan gila banget.saran coba harga di turunin,3,3,netral,2,2025-08-11 02:07:17,0
"aplikasinya sudah bagus,dan memudahkan juga buat yang lagi perlu kendaraan,cuma saya mau minta tolong banget nih,kalo bisa drivernya jangan suka suruh penumpang buat cancel sembarangan apalagi lagi di tengah buru-buru,dan juga kalo emang drivernya ga bisa ngantar atau memang sedari awal ada kendala ga usah di terima pesanannya,ini pengalaman saya sendiri jujur sudah sangat kesal dapat driver terima pesanan tapi ujung-ujungnya di suruh cancel gara-gara berbagai alasan",4,4,positif,3,2025-11-06 20:30:36,10
untuk driver food harusnya wajib mengunakan tas kedap udara agar makanan panas dan dingin terjaga kualitasnya,4,5,sangat_positif,4,2025-08-02 06:06:30,2
barusan pesan trus pake pembayaran tambahan biar gk telat tpi resto nya telat trus gofood seenaknya nukar jadwal keterlambatan hahaha lucu,3,3,netral,2,2025-08-26 01:55:51,2
"kurangin update nya aja,secara keseluruhan sudah bagus kok,cuman semakin di update semakin banyak masalah di aplikasinya.nanti kalo semakin bagus saya tambah bintangnya",4,4,positif,3,2025-08-04 18:15:35,0
akhir akhir ini gocar suka bermasalah ato memang mau nyari masalah,2,2,negatif,1,2025-05-13 11:52:19,0
"Maaf gojek, udah lama ga pakai gofood karena sudah tidak bisa pakai 2 voucher lagi.",4,1,sangat_negatif,0,2025-04-16 08:30:14,0
"sedih bgt order 2 x di cancel sama driver nya, padahal banyak bgt driver yg deket",2,2,negatif,1,2025-01-25 14:11:01,2
"saya pesan gofood nih, udah 2 kali ganti driver selama yang masing masing jedanya 1 driver itu 30 menit. emang ga ada fitur tolak ya di gofood drivernya? kalau ga ada tolong tambahin aja ya, biar ga kelamaan customernya nunggu. masalahnya chat saya udah dibaca drivernya tapi cuma dihiraukan saja karena sepertinya drivernya ga mau ambil orderan. kan kesel ya, udah chat cs gojek juga ga membantu. terima kasih",4,5,sangat_positif,4,2025-06-14 19:13:45,9
Kok setiap verifikasi wajah gagal terus ya?,4,4,positif,3,2025-02-09 20:42:07,0
"Salam gojek indinesia. Ssya ini onlene tiap hati dari jam 06-00 sd 21-00.ONLEN SUDAH 7 JAM CUMA DI HARGAI 1 ORDETAN . JANGANKAN BUAT ANAK ISTRI , BUAT DRIVERNYA SENDIRI HARUS PUASAApa aaya tiap hari saya dan keluaga makan MAAF .MAAF DAN MAAF. MAAF TIDAK BISA BELI BERAS. MAAF TIDAK BISA BELI BENSIN. YANG SAYA BUTUHKAN ORDETAN. SAMA AJA GOJEK MAU BUNUH DRIVERNYA SECARA HALUS .ATAU GOJEK SENGAJA MAU MENGHANCUKAN RUMAH TANGGA DRIVERNYA SENDIRI . semoga kedepannya GOJEK dapat melancarkan orderan",5,1,sangat_negatif,0,2025-10-01 14:36:18,11
tiba2 ada potongan google play setiap blnnya ini bln kedua.. sdh lakukan laporan tp tdk ada tindak lanjut... sy telusuri riwayat d google play tdk ada muncul,2,2,negatif,1,2025-07-22 11:20:21,1
pesan makanan tidak pernah nyangkut driver sampai pihak resto di batalin,3,3,netral,2,2025-04-03 19:45:03,0
mantap banyakin diskonnya biar kami rajin jajan pake gofood,4,4,positif,3,2025-07-15 19:23:56,0
parah ga bisa sambungin link aja,2,1,sangat_negatif,0,2025-05-11 09:35:39,0
"parah,, beli pulsa gk lsg masuk malah suruh nunggu masih dlm proses,, parah parah, puguh lg butuh nya haru itu juga mau di pake malah suruh nunggu parah parah parah,,",2,1,sangat_negatif,0,2025-03-31 10:30:02,0
1 lagi nyusul klw gak di kecewain..,4,3,netral,2,2025-05-11 12:00:58,0
"tolong yaa kalo emng telat ydh telat aja gausah bikin waktunya stak ngga berjalan gitu dong, yg untung lu bukan gue rugi, mana udh sering banget lagi kaya gini, apa bedanya sama pilihan semua pengirimin tll.",2,2,negatif,1,2025-09-11 20:44:58,3
kenapa sih sering lemot sinyalnya jd suka salah paham sama driver nya,2,2,negatif,1,2025-06-25 16:51:16,0
"kata gua mah ga usah pake fitur pengantaran express, reguler atau ekonomis dah, ga ada yg bisa menjamin waktu kedatangan. udh pesen express datengnya telat juga, pesen yg ekonomis malah cepet, ga perlu pake fitur ga guna begitu ah",3,3,netral,2,2025-09-25 12:54:52,5
"FITUR BANTUANNYA GAJELAS. GA MEMBANTU. SAYA ADA CASE MAKANAN KURANG, GA DITANGGEPI KELANJUTANNYA GIMANA. UNTUNG PIHAK RESTO NYA NANGGEPI CEPET. LEBIH CEPET RESPON DARIPADA APLIKASI MANTAN MENTERI PENDIDIKAN INI. GAJELAS",1,1,sangat_negatif,0,2025-09-18 17:25:38,1
"SETELAH PEMBARUAN BUKANNYA MAKIN BAGUS MALAH MAKIN ERROR, SAYA TOPUP SALDO GA MASUK MASUK KACAU !!!",3,3,netral,2,2025-06-25 15:53:34,0
suka lama nyari drivernya,3,3,netral,2,2025-04-01 18:59:19,0
"driver sangat ramah, dan sabar, tau jalan alternative koknya THE BEST",5,5,sangat_positif,4,2025-11-03 18:18:38,0
drivernya tidak ramah dan minta uang lebih,1,1,sangat_negatif,0,2025-10-07 08:12:40,1
makin hari dipakai makin naik harga nya gimana ini aplikasi.. padahal tujuannya sama terus.. aneh juga lu lama lama yah,1,1,sangat_negatif,0,2025-10-25 07:30:49,1
Uang saya terpotong untuk pembayaran aplikasi tertentu tanpa persetujuan saya,1,1,sangat_negatif,0,2025-10-26 12:02:47,1
"go food up harga dari real cost delivery yang tinggi gak pernah dapat promo di kota sendiri padahal sering pakai, dahlah 2 star.",2,2,negatif,1,2025-05-23 13:00:12,0
Tolong dong di upgrade sistem go food. Saya sudah menunggu lama tp malah tidak dapat driver akhirnya pesanan dibatalkan dan saya harus menunggu lama lagi.,2,5,sangat_positif,4,2025-01-03 17:01:32,0
"untuk gojek, kenapa setiap pesan selalu dikasih driver yg jauh, padahal disekitar area saya pesan banyak banget gojek yg mangkal, JD lama nunggu, kadang sampai 10 menit, dan ujung2nya sama driver dicancel, mohon perbaiki lagi, alangkah lebih bijak kl kasih driver yang ada disekitar pemesan jadi ga kelamaan nunggu",3,3,netral,2,2025-06-05 17:05:53,2
kenapa jika menerima telpon selalu gak bisa di angkat hanya bisa tolak aja tolong perbaiki,2,2,negatif,1,2025-04-05 15:09:26,0
Perketat pengawasan untuk driver nya ya min gojek. Agar lebih aman lagi penumpangnya dari driver2 nakal,4,4,positif,3,2024-11-18 12:23:56,0
"males pake aplikasi taik inj lagi, orang ngadu bukanya nawari solusi malah gak jelas",1,1,sangat_negatif,0,2025-10-26 18:03:11,3
lama banget dapet gojeknya sampai setengah jam,1,1,sangat_negatif,0,2025-11-04 17:01:46,1
