text,rating,quality_score,pos_score,neg_score,neu_score,sentiment
pengemudi sopan dan ramah.senangnya naik gojek bagi nenek pensiunan,5,100.0,1.0,0.0,0.0,positive
nunggu 2 jam tapi gofood gaada yang pickup hadeh wasting time,1,100.0,0.0,0.0,1.0,negative
isi saldo lambat bru masuk,3,100.0,0.0,1.0,0.0,negative
saya sudah sering pakai aplikasi ini padahal . cuma telat 2 hari di ancam . pt gojek sekarang beda dengan yang dulu . saya ganti jadi 1 bintang.,1,100.0,0.0,0.0,1.0,negative
banyakin diskonnya donk kan aku tiap hari pakai layanan ini,5,100.0,0.0,0.0,1.0,positive
"pesen gofood saja lambat nya minta ampun, sudah 1 jam gaada pengemudi buat ngambil pesanan nya. bintang 1 karena lambat banget",1,100.0,0.0,1.0,0.0,negative
"halo admin, tolong dong adain fitur backlist block driver, biar tidak ktemu pengemudi yang sama karena ada salah stu pengemudi bikin tidak nyaman. trimakasih",5,100.0,0.0,0.6666666666666666,0.3333333333333333,positive
cepat dan mudah,5,40.0,1.0,0.0,0.0,positive
"beralih aplikasi grab karena sangan mengecewakan, alamat tidak sesuai alamat kemana ngantarnya kemana.",1,100.0,0.0,1.0,0.0,negative
pengemudi sangat baik dan ramah,4,100.0,1.0,0.0,0.0,positive
ada yang mengancam saya lewat apk gojek ngetas nama gojek .dia minta uang kalau tidak di kasih mau meretas identitas saya identitas saya mau di sebarin .saya ada bukti percakapan nya bagaimana ini gojek. untuk ke amannya. kemannya kurang.,1,100.0,0.0,0.0,1.0,negative
lebih bagus ini dari pada yang sebelah,5,100.0,1.0,0.0,0.0,positive
"bagaimana sih masa wifi bagus koneksi internet aplikasi nya bermasalah malah yah, internetnya mati. cek koneksi wi-fi atau kuota internetmu dan coba lagi ya. bagaimana aturannya gua mau bagus up malah gangguan",4,100.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,positive
sangat bagus sekali sangat membantu banget,5,100.0,1.0,0.0,0.0,positive
sangat membantu tapi banyakin diskon untuk daerah kabupaten,5,100.0,1.0,0.0,0.0,positive
bisa membantu perjalanan saya ke tempat kampus saya dan cepat,5,100.0,0.6666666666666666,0.0,0.3333333333333333,positive
mudah dan cepat bagus,5,70.0,1.0,0.0,0.0,positive
"sebagai informasi tambahan, mohon untuk tidak memberikan kode otp, pin atau password kepada pihak manapun termasuk pihak bank jago untuk mencegah adanya penyalahgunaan akun.",5,100.0,0.0,0.0,1.0,positive
4 karena kadang ada pengemudi yang ketus,4,100.0,0.0,0.0,1.0,positive
perjalanan lebih mudah,5,70.0,1.0,0.0,0.0,positive
susah banget cari goosend,1,70.0,0.0,1.0,0.0,negative
segala urusan jadi mudah,5,70.0,1.0,0.0,0.0,positive
semoga selalu siap dan bermanfaat,5,100.0,0.0,0.0,1.0,positive
sesuai harapan costumer,5,60.0,0.0,0.0,1.0,positive
"sudah pake aplikator ini sudah lama, baru sekarang kecewa, tiba2 tarif naik tidak jelas, setelah di perhatiin ternyata rute nya di ubah dong .tolol, kalo mau ambil untung tidak gitu juga, di tunggu penjelasan nya",1,100.0,0.0,1.0,0.0,negative
orngya baik sopan. tepat wkt,5,100.0,1.0,0.0,0.0,positive
good sangat membantu,5,70.0,1.0,0.0,0.0,positive
kecewa gopay pinjam.saya lunasin tagihan biar bisa pinjam lagi malah sekarang tidak bisa pinjam lagi.di tolak,1,100.0,0.0,0.5,0.5,negative
pencarian pengemudi sudah oke. tapi biaya admin nambah mahal dan minim diskon,4,100.0,1.0,0.0,0.0,positive
"pakai gojek memudahkan untuk kaum mageran seperti saya ini, tidak perlu kluar makanan datang sendiri",5,100.0,0.0,1.0,0.0,positive
bagus aplikasi super modern semua bisa dan ada di sini,5,100.0,0.5,0.0,0.5,positive
