text,sentiment
loading lama searching lola aplikasi sudah update pesen gosend susahnya gomart searching produk susah makan waktu fix it,very_negative
beberapa hari saya pesan harga awal adalah promosi setelah pesan ternyata harga normal sya mau komplain di aplikasi bantuan tidak bsa di buka di cs nya sibuk mulu trs gmna ini trs terang sangat mengecewakan driver jg jarang bs di hub,negative
tambahin menu go tracking mungkin akan bisa membantu rekan yang lagi nunggu kiriman via go send sukses selalu,positive
aplikasi ini sangat membantu untuk berpergian dan banyak promosi nya juga di goride and gocar untuk kedepan nya lebih banyak promosi goride and gocar ya kak karena saya berpergian slalu pakai gojek,positive
ribett sekarang klo gofood kalo kepencetsalah alamat gabisa di batal harus telpon call center giliran dah di telpon ditanggapi nya tunggu sebentar lagi di proses tapi lambat banget di proses nya belum lagi dapet pengemudi yang marah ngotot mau ambil pesanan gajelas sudah beberapa kali nelpon call center gitu terus tanggapannya tolong yaa diperbaiki klo males nanggepin ubah fitur nya jangan dipersulit,very_negative
sangat membantu sekali untuk perjalanan luar kota yang aman dan terjamin aplikasi bisa diakses di kota kota kecil juga biaya kendaraan juga terjangkau,very_positive
lain kali pengemudi nya jangan suka nabrak orang di jalan terus nuduh orang yang di tabrak nya,negative
apk nya baguss tpi terkadang pengemudi nya males buat anter pesanan,neutral
tolong buat go food di adain fitur komen di restonya juga di adain fitur buat naro foto dari masakannya biar nanti orang yang mau beli tau kalo dia beli itu kek yang di gambar terus tau juga dari komentar orang yang beli enak atau enggak porsinya segala macem biar nanti kalo beda kita bisa tau itu dari restonya apa dari drivernya jadi pembeli belinya bisa lebih aman gitu soalnya poto displaynya kan bisa jadi beda jauh banget nanti ketipu kek saya sekian trimakasih,positive
gopay saya sulit banget tersinkronisasi dengan akun mitra pengemudi saya disuruh nunggu hari tak ada hasil dan bahkan saya disuruh kirim data lagi masa ya sesulit itu masa ya minta data terus,negative
wahh apk ini sangat bagus saya jadi bisa berbelanja makanan lewat online selain itu terkadang juga saya mendapatlan voucher diskon itu membuat saya menjadi suka untuk memakai apk ini jadi gaperlu jauh jauh lagi untuk mampir ke toko deh,very_positive
sering prmo ya awokawok,positive
sengaja tak kasih bintang banyak biar diatas saya mau bayar paylater saja dipersulit selalu ada gangguan hubungin cs masih belum clear juga malah minta bukti transaksi paylater kemarin juga sudah saya kasih tapi masih belum ada perkembangan juga tolong ddoong kalau gini dendanya makin membengkak,very_positive
aplikasi jelas dan banyak rekan kerja nya jg cashback besar dan memudahkan untuk bayar bayar,positive
sangat bagus dan byk promosi serta mudah banget trmksh gojek khususnya layanan food saran saya harusnya limit paylater bisa digunakan untuk food dong saya pelanggan stia food,positive
pernah pake aplikasi ini sebelum hp hilang lalu pd saat mau pake lagi aplikasi terblokir harusnya kl ke blokir tidak bisa topup dong lah ini bisa jadi sayang ada saldo tidak bisa dipake sudah email tapi belum ada jwban sampe bln ini belum direspon apa sama pihak gojeknya,negative
suka banget sama apk gopaynya simple dan mudah digunakan semoga kedepannya gopay bisa buat bayar belanjaan di shopee dan lazada,very_positive
kenapa tidak ada peta nya biasanya kalau sedang pesan kita bisa melihat pergerakan pengemudi nya di peta sekarang kenapa tidak ada tolong di perbaikin,neutral
tolong diperbaiki lagi ya gojek soalnya saya sering banget saldo gopay masih banyak banget tapi tetap ditagih tunai aplikasi saya dan aplikasi bapak pengemudi kadang beda terutama di layanan gocar,very_negative
saya dapat voucher promosi cashback rp diminta update aplikasi ternyata meski sudah dipakai vouchernya cashback ngak dapat sungguh membuang waktu tenaga dan emosi,positive
error sejak ada aplikasi gopay sendiri makin buruk dan tidak jelas ini aplikasi lebih baik di buang saja saya ada saldo di gopay ribu nyantol aplikasi parah,very_negative
bagi pengguna aplikasi ini hanya mengingatkan kalau sekarang gojek itu memprioritaskan agar pengemudi mendapatkan ongkos ter rendahbatas bawah termasuk mencurangi jarak antar termasuk juga ketika customer dapat pengemudi yang sangat jauh ex kondisi cuaca hujan,very_negative
sementara kasih bintang dulu yaa masih mbulet dan layanan masih butuh berhari hanya untuk verifikasi,neutral
sumpahh dah mo ganti nomor hp karena ilang ga direspon terus via emailnya padahal sudah nelpon call centernya dibilang menit akan dicek email saya tapi saya tetep tidak nerima balesan apa dri email,very_negative
transaksi mudah dan upgrade ke premiumnya tidak pake lambat,very_positive
untuk go food mohon diupdate lagi masa rm sudah lambat tutup di keterangan masih buka kasian kan drivernya kita jg jadi lambat nunggu nya dan masukan untuk penambahan keterangan resto halal plus chat kalau bisa ada tambahan untuk bisa hapus pesan,very_negative
kenapa tak bisa di download aplikasi,neutral
ini kenapa ya aplikasi gojek saya kl chat ke pengemudi ko masuknya ke sms yah tidak masuk ke chat via kuota sudah saya update ke versi paling baru tapi ko masih sama ini tuh semua kaya gini apa cuman saya aja makasih,neutral
sudah bulan kalo mau pesen gosen selalu padat merayap padat merayat trus apk tololl masa bulan merayap trus,very_negative
pelit sudah minggu gabisa pake gorideaja,very_negative
maaf saya ksh bintang karena tiba saja voucher go food yang saya miliki hilang dan promosi resto jg tidak ada sama sekali tnya cs jwbnya ada aktifitas tidak wjr saya tidak merasa melakukan kesalahan apapun saya hanya pesan go food dengan menggunakan voucher yang disediakan gojek kebetulan saya dan teman kantor memesan menu yang sama dan alamat yang sama sungguh aneh sekali bila saya dan teman saya disangka satu pengguna yang sama padahal karyawan di tempat saya bekerja itu jumlahnya ribuan bukan satu dua orang saja,very_negative
npa akhir akhir ini biaya antar go food mahal ya pdhal deket bngt mnding bli sendri lah tidak perlu aplikasinya lagi,negative
sopirnya di daerah jawa timur ini pada belagu tidak mau angkut penumpang yang jaraknya dekat dan dalam kondisi hujan padahal saya pesannya gocar bukan go ride,neutral
nih ya bagi pihak gojek kenapa kalo pas lagi dpt diskon gocar pasti tidak pernah dpt diskon go ride sudah beberapa kali gitu mulu trs ada notif dpt diskon go ride tapi pas dibuka tidak ada itu gimna,very_positive
aplikasinya sih bagus cuman tidak niat ngasih promosi sudah beli langanan gratis ongkir paylater dah di aktifin ehh toko tidak ada promo padahal biasanya selalu ada promosi gara langanan grtis ongkir hilang promony di toko di aplikasi di hp yang lain ada promo,very_positive
bagus banget mudah pamakaian nya semua keperluan saya jadi gampang,very_positive
terima kasih cepat dan nyaman,positive
puas banget dah,positive
pertama kali make akhirnya suka banget bikin nagih cari makanan favorit makin gampang dan cepat sampai makasih gojek,very_positive
info nya min link login kga terkirim di ulang malah suruh nunggu menit karena keseringan mencet,neutral
malu sekali nanya ke pengemudi mobilnya apa karena tidak muncul di tampilan pemesanan malah drivernya tersinggung marah tolong munculkan lagi supaya mudah dikenali mobilnya,positive
mohon kalau kasih promosi voucher gofud restoran ada pertimbangandeteksi wilayah vouchernya semua di resto yang tidak ada di kota kami,positive
saya bayar sebelum bayar sudah dipastikan voucher nempel pas sudah bayar malah voucher tidak dihitung nempel tidak dpt cashback aplikasi penipu,positive
memudahkan pengiriman barang saat d rumah tidak ada kendaraan,very_positive
aplikasi yang tidak prnah ngecewain gue kmn pun dan kapan pun saya dengan mudah bisa order,positive
mau up ke plus tapi ktp buram jadi failed terus tidak kasih keringanan apa buat member,neutral
tiba akun gojek tidak bisa dibuka saya sudah cba uninstal mlh tertutup sndri aplikasiny pdhl saya msh ad sisa saldo skrg iseng saya cba lagi login dan akhirny bs tapi saldo saya hilang bagaima itu bs begitu,negative
download app ini cuma buat cek warung terdekat yang msih buka klo beli mah pake app sebelah yang lbih murah kurirnya,positive
aplikasi sudah bagus tapi ada saran agar pihak ketiga dapat lgsg mendebet saldo gopay dari pengemudi sehingga tidak ada alasan kekurangan uang untuk membelikan pesanan konsumen kasian juga klw pengemudi harus memakai uang sendiri untuk membelikan belum lagi klw sudah beli trnyata dicancel,positive
waktu penjemputan pas sikap pengemudi dan kebersihan mobil cukup bagus,positive
baru coba klo ok tmbah lagi bintangnya,positive
pliss banyakin diskonn,very_positive
permohonan saya untuk development aplikasi gojek sekedar masukan saja semoga kedepannya ada fitur live chat problem bantuan dengan callcenter nya langsung,neutral
aplikasi sering down sudah mah buru laper malah app nya down gabisa mesen gabisa pesan apapun cape,negative
memudahkan untuk pergi jauh,very_positive
gopaylater tidak bisa di pakai,very_negative
tolong bekukan akun custemer yang cuma buat nembak atau yang sering batal karena sangat merugikan driver habis di batal pasti anyep tidak bunyi lagi mesti nunggu jam lagi,very_negative
saya kasih bintang dulu soalnya saya upgrade ke ke gopay plus tidak bisa,neutral
