original_index,text,current_label,reason,confidence,pos_keywords,neg_keywords,suggested_label,notes
210,sukses ya tapi jangan naik tarifnya nanti tidak suka orang pesan go jek karena berubah ubah tarif terimakasih selamat dan tuhan memberkati,negative,Labeled NEGATIVE but has 3 positive keywords vs 2 negative,high,3,2,,
704,game nya bagus kualitas nya juga hd tidak burik hero nya juga banyak dan suka banyak hero baru yang muncul setiap bulan nya main vs sangat menyenangkan tapi player nya banyak yang toxic satu lagi tolong hapus hero nana ngeselin banget sumpag dah kalo tidak di hapus hero nya mending skill yang babi nya hapus saja ganti sama skill lain itu saja sih kendala nya thanks,negative,Labeled NEGATIVE but has 3 positive keywords vs 1 negative,high,3,1,,
3002,aplikasinya sangat aneh setiap saya ingin menarik saldo selalu kena pending tidak seperti ovo dana dan lain lain mohon perbaiki secepatnya terimakasih untuk sementara bintang dulu kalau sudah di perbaiki saldo saya kembali saya kasih bintang,negative,Labeled NEGATIVE but has 3 positive keywords vs 1 negative,high,3,1,,
6832,aplikasi nya bagus tapi drivernya suka diamin pesanan orang tolong jika bisa auto cancelnya dipercepat sangat menggangu jika memesan go food drivernya kayak patung diamin lambat ujung ujungnya batal sendiri,negative,Labeled NEGATIVE but has 3 positive keywords vs 2 negative,high,3,2,,
8050,senang banget selama pakai gojek selalu dapet pengemudi yang baik dan seru terimakasih sekali buat pengemudi yang selalu nurutin customer spt aku buat lewat jalan yang belum pernah aku tau meskipun lebih jauh dan muter muter,negative,Labeled NEGATIVE but has 3 positive keywords vs 1 negative,high,3,1,,
8241,sudah beberapa kali app ini eror dan tidak mau menaruh lokasi yang sesuai dengan posisi user sangat kurang puas dengan akurasi lokasinya semoga lebih cepat diperbaiki trims,negative,Labeled NEGATIVE but has 3 positive keywords vs 1 negative,high,3,1,,
9486,masih ada kurang a maaf ya ini hanya buat koreksi aja aku suka pake gojek karena simple aplikasi a bayar bisa pake gopay jd tidak sibuk mikirin dibalikinga uang a tapi minus a kalo hujanhabis hujan hhuu itu sudah buruk buruk bikin kesel pernah pesan sudah x pas ujan yang dateng tu ojol sama yang ke dua ojol dateng sekaligus kan kasihan terus chat a tidak bisa dipake kalo lagi ujanabis ujan tulisan a gangguan tolong yaa diperbaiki biar makin banyak penikmat a thanks yang buat,negative,Labeled NEGATIVE but has 3 positive keywords vs 2 negative,high,3,2,,
10322,aplikasi nya bagus kenapa tidak ada masalah sama sekali saya puas dengan hasil nya biarpun kalian tidak suka aplikasi nya pliss dong jangan kasih komentar yang tidak baik lebih baik jika tidak suka dengan aplikasi mendingan kasih komentar yang baik contoh aplikasi nya kurang bagus atau gmna gitu yang penting jangan bilang tidak jelas maaf sekedar pemberitahuan,negative,Labeled NEGATIVE but has 4 positive keywords vs 1 negative,high,4,1,,
11593,sudah di upgrate malah tambah buruk saja ini aplikasi lelet banget padahal jaringan bagus mana pake loadingnya lambat lagi tolong di perbaiki ya terima kasih,negative,Labeled NEGATIVE but has 3 positive keywords vs 2 negative,high,3,2,,
13068,maaf ya aku kasih bintang soalnya salah satu dari pengemudi gojek ada yang tidak sopan bicaranya bahkan sampai mengeluar kan kalimat kasar kesaya barusan cuman karena saya kasih rute lewat jalur belakang agar aman dari kendaraan besar dijam malam malam seperti ini saran aku lebih baik banyak banyakin sabar ucapan juga tolong dijaga jangan ngebut ngebutan karena keselamatan lebih utama dari pada kecepatan dan semoga bisa tetep ramah sama castemer lainnya,negative,Labeled NEGATIVE but has 3 positive keywords vs 2 negative,high,3,2,,
